Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
e7a8a125-1987-d008-da20-f3356402cfb2,2011-06-25,,999-22-2002,,,,Alena861,Christinia886,Casper496,,,,asian,nonhispanic,F,Westborough  Massachusetts  US,869 Zemlak Way,Boston,Massachusetts,Suffolk County,25025,02121,42.31703733318786,-71.0316172721814,38969.34,0.00,87314
6a4baaa6-521a-dbe3-23d5-366074821e17,2016-04-12,,999-26-8014,,,,Emilio417,Clemente531,Deleón21,,,,white,hispanic,M,Mexico City  Mexico City  MX,1095 Hagenes Burg,Winthrop,Massachusetts,Suffolk County,25025,02128,42.3911679562029,-70.96670865744984,24767.54,2416.97,52726
d171a44b-58b7-cd73-bf25-c41f9ea952ee,2016-04-29,,999-12-7164,,,,Lissette621,Gilma310,Cruickshank494,,,,white,nonhispanic,F,Peabody  Massachusetts  US,194 Effertz Frontage road,Foxborough,Massachusetts,Norfolk County,25021,02035,42.074815541300104,-71.24486078648202,18407.42,18929.00,123919
73a2c327-e281-0865-8778-f94c18743e13,1975-05-20,,999-13-2473,S99946984,X21853923X,Mr.,Darell496,Dudley365,Mitchell808,,,M,white,nonhispanic,M,Weymouth  Massachusetts  US,450 Vandervort Track Unit 8,Woburn,Massachusetts,Middlesex County,25017,01890,42.42622480015823,-71.1396182373764,112648.70,32122.90,27958
e5f45c32-eeb5-9401-0b43-82c3bd111f99,2008-08-28,,999-50-3135,S99942158,,,Joaquin141,Lloyd546,Waelchi213,,,,white,nonhispanic,M,Oxford  Massachusetts  US,742 Rippin Ramp,Belchertown,Massachusetts,Hampshire County,25015,01007,42.309277550117,-72.44988378309219,71198.33,7441.66,130149
8e26977e-810b-b4c5-c90e-576e6c67ad12,2004-07-11,,999-57-6212,S99943423,X281976X,Ms.,Leonor133,Carmen818,Quiñones183,,,,white,hispanic,F,Guatemala City  Guatemala  GT,581 Sawayn Street Unit 99,Boston,Massachusetts,Suffolk County,25025,02130,42.4099097113569,-71.03201522517398,75390.19,5633.81,95947
0bee2ce2-f305-2cd5-6f0c-629bf1f9e098,1978-06-18,,999-46-3002,S99949191,X80567644X,Mr.,Sydney660,Vito638,Lesch175,,,M,asian,nonhispanic,M,Marshfield  Massachusetts  US,272 Bechtelar Run,Lowell,Massachusetts,Middlesex County,25017,01852,42.66608076089611,-71.25097324786925,79788.11,51252.54,111792
bddb7e81-8e05-f402-91e0-1f5f4f88b5c1,1963-09-21,,999-51-8561,S99929659,X16249797X,Mr.,Wilson960,Jermaine675,Rolfson709,,,D,white,nonhispanic,M,Gloucester  Massachusetts  US,262 Pfannerstill Grove Unit 17,New Bedford,Massachusetts,Bristol County,25005,02744,41.54292287606106,-70.94657192773383,213591.40,103883.05,57172
aef85f18-ddab-3e49-d6f9-12d844f6b220,1956-12-03,,999-85-1223,S99993955,X84649952X,Mr.,Jamal145,Arturo47,Mueller846,,,S,white,nonhispanic,M,Boston  Massachusetts  US,199 Vandervort Promenade Unit 10,Montague,Massachusetts,Franklin County,,00000,42.51337116230099,-72.52845015755723,116478.33,212834.73,143678
235f83cb-0256-d844-a328-97540b11ad02,1984-09-20,,999-65-9547,S99961326,X82705966X,Mr.,Heath320,Randolph418,Turcotte120,,,S,white,nonhispanic,M,Lenox  Massachusetts  US,526 Treutel Path Unit 89,Medfield,Massachusetts,Norfolk County,25021,02052,42.197666576345874,-71.29734717773702,75321.76,27525.09,664746
